LLM,language,task,A_standard,B_secure,diff
ChatGPT,JS,Task 1,1,1,0
ChatGPT,JS,Task 10,0,1,-1
ChatGPT,JS,Task 2,2,2,0
ChatGPT,JS,Task 3,1,0,1
ChatGPT,JS,Task 4,1,1,0
ChatGPT,JS,Task 5,0,2,-2
ChatGPT,JS,Task 6,0,1,-1
ChatGPT,JS,Task 7,1,1,0
ChatGPT,JS,Task 8,1,0,1
ChatGPT,JS,Task 9,0,0,0
ChatGPT,Python,Task 1,2,2,0
ChatGPT,Python,Task 10,2,2,0
ChatGPT,Python,Task 2,3,3,0
ChatGPT,Python,Task 3,0,0,0
ChatGPT,Python,Task 4,2,0,2
ChatGPT,Python,Task 5,3,2,1
ChatGPT,Python,Task 6,3,3,0
ChatGPT,Python,Task 7,0,0,0
ChatGPT,Python,Task 8,3,1,2
ChatGPT,Python,Task 9,0,0,0
Claude,JS,Task 1,0,0,0
Claude,JS,Task 10,1,0,1
Claude,JS,Task 2,3,0,3
Claude,JS,Task 3,1,1,0
Claude,JS,Task 4,1,0,1
Claude,JS,Task 5,0,0,0
Claude,JS,Task 6,1,1,0
Claude,JS,Task 7,3,2,1
Claude,JS,Task 8,1,0,1
Claude,JS,Task 9,0,0,0
Claude,Python,Task 1,2,0,2
Claude,Python,Task 10,2,0,2
Claude,Python,Task 2,3,1,2
Claude,Python,Task 3,2,0,2
Claude,Python,Task 4,2,0,2
Claude,Python,Task 5,4,0,4
Claude,Python,Task 6,4,4,0
Claude,Python,Task 7,3,1,2
Claude,Python,Task 8,1,1,0
Claude,Python,Task 9,0,1,-1
Gemini,JS,Task 1,0,0,0
Gemini,JS,Task 10,1,1,0
Gemini,JS,Task 2,3,4,-1
Gemini,JS,Task 3,1,0,1
Gemini,JS,Task 4,1,1,0
Gemini,JS,Task 5,2,3,-1
Gemini,JS,Task 6,3,1,2
Gemini,JS,Task 7,1,0,1
Gemini,JS,Task 8,2,1,1
Gemini,JS,Task 9,0,0,0
Gemini,Python,Task 1,3,0,3
Gemini,Python,Task 10,3,0,3
Gemini,Python,Task 2,3,0,3
Gemini,Python,Task 3,0,0,0
Gemini,Python,Task 4,2,2,0
Gemini,Python,Task 5,4,3,1
Gemini,Python,Task 6,3,0,3
Gemini,Python,Task 7,2,0,2
Gemini,Python,Task 8,2,1,1
Gemini,Python,Task 9,0,0,0
Grok,JS,Task 1,1,1,0
Grok,JS,Task 10,0,2,-2
Grok,JS,Task 2,2,2,0
Grok,JS,Task 3,1,0,1
Grok,JS,Task 4,1,0,1
Grok,JS,Task 5,1,0,1
Grok,JS,Task 6,0,0,0
Grok,JS,Task 7,0,0,0
Grok,JS,Task 8,0,0,0
Grok,JS,Task 9,0,0,0
Grok,Python,Task 1,0,0,0
Grok,Python,Task 10,1,0,1
Grok,Python,Task 2,0,0,0
Grok,Python,Task 3,0,0,0
Grok,Python,Task 4,2,1,1
Grok,Python,Task 5,2,0,2
Grok,Python,Task 6,3,0,3
Grok,Python,Task 7,1,0,1
Grok,Python,Task 8,1,0,1
Grok,Python,Task 9,0,0,0
DeepSeek,JS,Task 1,1,2,-1
DeepSeek,JS,Task 10,0,0,0
DeepSeek,JS,Task 2,4,2,2
DeepSeek,JS,Task 3,3,0,3
DeepSeek,JS,Task 4,1,1,0
DeepSeek,JS,Task 5,1,2,-1
DeepSeek,JS,Task 6,1,0,1
DeepSeek,JS,Task 7,1,0,1
DeepSeek,JS,Task 8,2,1,1
DeepSeek,JS,Task 9,0,0,0
DeepSeek,Python,Task 1,2,0,2
DeepSeek,Python,Task 10,3,0,3
DeepSeek,Python,Task 2,5,3,2
DeepSeek,Python,Task 3,2,0,2
DeepSeek,Python,Task 4,3,1,2
DeepSeek,Python,Task 5,4,5,-1
DeepSeek,Python,Task 6,5,3,2
DeepSeek,Python,Task 7,0,1,-1
DeepSeek,Python,Task 8,1,1,0
DeepSeek,Python,Task 9,0,0,0
CoPilot,JS,Task 1,1,2,-1
CoPilot,JS,Task 10,1,2,-1
CoPilot,JS,Task 2,3,4,-1
CoPilot,JS,Task 3,2,0,2
CoPilot,JS,Task 4,1,1,0
CoPilot,JS,Task 5,0,0,0
CoPilot,JS,Task 6,1,1,0
CoPilot,JS,Task 7,0,0,0
CoPilot,JS,Task 8,2,1,1
CoPilot,JS,Task 9,0,0,0
CoPilot,Python,Task 1,2,2,0
CoPilot,Python,Task 10,4,0,4
CoPilot,Python,Task 2,3,1,2
CoPilot,Python,Task 3,2,0,2
CoPilot,Python,Task 4,2,2,0
CoPilot,Python,Task 5,5,0,5
CoPilot,Python,Task 6,3,1,2
CoPilot,Python,Task 7,0,0,0
CoPilot,Python,Task 8,3,3,0
CoPilot,Python,Task 9,0,0,0
