CWE_ID,Description,ChatGPT,Claude,Gemini,Grok,DeepSeek,CoPilot,Total
CWE-489,Leftover Debug Code,9,8,10,2,9,10,48
CWE-798,Use of Hard-coded Credentials,6,9,13,1,8,10,47
CWE-94,Code Injection / Debug Exposure,7,8,8,2,7,8,40
CWE-352,Cross-Site Request Forgery (CSRF),4,6,7,5,8,7,37
CWE-522,Insufficiently Protected Credentials,4,6,5,5,5,6,31
CWE-78,OS Command Injection,1,4,1,1,4,2,13
CWE-918,Server-Side Request Forgery (SSRF),0,0,2,1,0,4,7
CWE-390,Detection of Error Condition Without Action (Empty Catch),1,0,3,0,2,0,6
CWE-673,External Influence of Sphere Definition,0,1,1,1,1,1,5
CWE-521,Weak Password Requirements,0,1,1,3,0,0,5
CWE-605,Multiple Binds to the Same Port (Bind-All Interfaces),0,0,0,0,4,0,4
CWE-400,Uncontrolled Resource Consumption (DoS),0,0,0,0,0,2,2
CWE-96,Static Code Injection,0,0,0,0,1,1,2
CWE-79,Cross-Site Scripting (XSS),0,0,0,0,2,0,2
CWE-668,Exposure of Resource to Wrong Sphere,0,0,0,0,2,0,2
CWE-134,Use of Externally-Controlled Format String,0,1,0,0,0,0,1
CWE-319,Cleartext Transmission of Sensitive Information,0,1,0,0,0,0,1
CWE-915,Improperly Controlled Modification of Dynamically-Determined Attributes (Mass Assignment),0,1,0,0,0,0,1
CWE-89,SQL Injection,0,0,0,0,1,0,1
